Time,RPM
0,598.712113299352
0.001,598.955053010217
0.002,599.197989074567
0.003,599.440921494427
0.004,599.683850271824
0.005,599.926775408784
0.006,600.169696907332
0.007,600.412614769496
0.008,600.6555289973
0.009,600.898439592771
0.01,601.141346557936
0.011,601.38424989482
0.012,601.62714960545
0.013,601.870045691851
0.014,602.112938156049
0.015,602.355827000071
0.016,602.598712225944
0.017,602.841593835692
0.018,603.084471831342
0.019,603.32734621492
0.02,603.570216988452
0.021,603.813084153965
0.022,604.055947713484
0.023,604.298807669036
0.024,604.541664022646
0.025,604.784516776341
0.026,605.027365932147
0.027,605.27021149209
0.028,605.513053458196
0.029,605.755891832491
0.03,605.998726617001
0.031,606.241557813752
0.032,606.484385424771
0.033,606.727209452084
0.034,606.970029897716
0.035,607.212846763693
0.036,607.455660052043
0.037,607.698469764791
0.038,607.941275903962
0.039,608.184078471584
0.04,608.426877469682
0.041,608.669672900282
0.042,608.91246476541
0.043,609.155253067093
0.044,609.398037807357
0.045,609.640818988228
0.046,609.883596611731
0.047,610.126370679893
0.048,610.369141194741
0.049,610.611908158299
0.05,610.854671572594
0.051,611.097431439653
0.052,611.340187761502
0.053,611.582940540166
0.054,611.825689777671
0.055,612.068435476044
0.056,612.311177637311
0.057,612.553916263498
0.058,612.796651356631
0.059,613.039382918736
0.06,613.28211095184
0.061,613.524835457967
0.062,613.767556439146
0.063,614.0102738974
0.064,614.252987834758
0.065,614.495698253243
0.066,614.738405154884
0.067,614.981108541706
0.068,615.223808415735
0.069,615.466504778997
0.07,615.709197633518
0.071,615.951886981324
0.072,616.194572824442
0.073,616.437255164897
0.074,616.679934004716
0.075,616.922609345925
0.076,617.16528119055
0.077,617.407949540616
0.078,617.65061439815
0.079,617.893275765179
0.08,618.135933643728
0.081,618.378588035823
0.082,618.621238943491
0.083,618.863886368757
0.084,619.106530313648
0.085,619.349170780189
0.086,619.591807770407
0.087,619.834441286329
0.088,620.077071329979
0.089,620.319697903384
0.09,620.562321008571
0.091,620.804940647565
0.092,621.047556822392
0.093,621.290169535079
0.094,621.532778787651
0.095,621.775384582136
0.096,622.017986920558
0.097,622.260585804944
0.098,622.50318123732
0.099,622.745773219712
0.1,622.988361754146
0.101,623.230946842649
0.102,623.473528487246
0.103,623.716106689964
0.104,623.958681452828
0.105,624.201252777865
0.106,624.443820667101
0.107,624.686385122562
0.108,624.928946146273
0.109,625.171503740262
0.11,625.414057906554
0.111,625.656608647176
0.112,625.899155964153
0.113,626.141699859511
0.114,626.384240335277
0.115,626.626777393477
0.116,626.869311036137
0.117,627.111841265282
0.118,627.35436808294
0.119,627.596891491135
0.12,627.839411491895
0.121,628.081928087246
0.122,628.324441279212
0.123,628.566951069822
0.124,628.809457461099
0.125,629.051960455072
0.126,629.294460053765
0.127,629.536956259206
0.128,629.779449073419
0.129,630.021938498431
0.13,630.264424536269
0.131,630.506907188958
0.132,630.749386458525
0.133,630.991862346995
0.134,631.234334856394
0.135,631.47680398875
0.136,631.719269746087
0.137,631.961732130432
0.138,632.204191143811
0.139,632.446646788251
0.14,632.689099065776
0.141,632.931547978414
0.142,633.17399352819
0.143,633.416435717131
0.144,633.658874547262
0.145,633.90131002061
0.146,634.143742139201
0.147,634.386170905061
0.148,634.628596320216
0.149,634.871018386692
0.15,635.113437106516
0.151,635.355852481712
0.152,635.598264514308
0.153,635.84067320633
0.154,636.083078559803
0.155,636.325480576754
0.156,636.567879259209
0.157,636.810274609194
0.158,637.052666628734
0.159,637.295055319857
0.16,637.537440684588
0.161,637.779822724954
0.162,638.02220144298
0.163,638.264576840692
0.164,638.506948920117
0.165,638.749317683281
0.166,638.99168313221
0.167,639.234045268929
0.168,639.476404095466
0.169,639.718759613845
0.17,639.961111826094
0.171,640.203460734239
0.172,640.445806340304
0.173,640.688148646317
0.174,640.930487654304
0.175,641.172823366291
0.176,641.415155784303
0.177,641.657484910368
0.178,641.89981074651
0.179,642.142133294757
0.18,642.384452557133
0.181,642.626768535666
0.182,642.869081232382
0.183,643.111390649306
0.184,643.353696788465
0.185,643.595999651884
0.186,643.83829924159
0.187,644.080595559609
0.188,644.322888607968
0.189,644.565178388691
0.19,644.807464903806
0.191,645.049748155338
0.192,645.292028145313
0.193,645.534304875758
0.194,645.776578348698
0.195,646.018848566161
0.196,646.261115530171
0.197,646.503379242755
0.198,646.745639705939
0.199,646.987896921749
0.2,647.230150892211
0.201,647.472401619352
0.202,647.714649105197
0.203,647.956893351773
0.204,648.199134361105
0.205,648.44137213522
0.206,648.683606676144
0.207,648.925837985903
0.208,649.168066066523
0.209,649.41029092003
0.21,649.65251254845
0.211,649.89473095381
0.212,650.136946138135
0.213,650.379158103451
0.214,650.621366851786
0.215,650.863572385164
0.216,651.105774705611
0.217,651.347973815155
0.218,651.590169715821
0.219,651.832362409635
0.22,652.074551898623
0.221,652.316738184811
0.222,652.558921270226
0.223,652.801101156893
0.224,653.043277846839
0.225,653.28545134209
0.226,653.527621644672
0.227,653.76978875661
0.228,654.011952679932
0.229,654.254113416663
0.23,654.496270968829
0.231,654.738425338456
0.232,654.980576527571
0.233,655.222724538199
0.234,655.464869372367
0.235,655.7070110321
0.236,655.949149519426
0.237,656.191284836369
0.238,656.433416984957
0.239,656.675545967214
0.24,656.917671785168
0.241,657.159794440844
0.242,657.401913936269
0.243,657.644030273468
0.244,657.886143454468
0.245,658.128253481294
0.246,658.370360355974
0.247,658.612464080532
0.248,658.854564656995
0.249,659.09666208739
0.25,659.338756373741
0.251,659.580847518076
0.252,659.822935522421
0.253,660.065020388801
0.254,660.307102119243
0.255,660.549180715772
0.256,660.791256180415
0.257,661.033328515198
0.258,661.275397722147
0.259,661.517463803289
0.26,661.759526760648
0.261,662.001586596252
0.262,662.243643312127
0.263,662.485696910298
0.264,662.727747392791
0.265,662.969794761633
0.266,663.21183901885
0.267,663.453880166468
0.268,663.695918206513
0.269,663.937953141012
0.27,664.179984971989
0.271,664.422013701472
0.272,664.664039331486
0.273,664.906061864058
0.274,665.148081301213
0.275,665.390097644978
0.276,665.632110897379
0.277,665.874121060442
0.278,666.116128136193
0.279,666.358132126658
0.28,666.600133033864
0.281,666.842130859835
0.282,667.084125606599
0.283,667.326117276182
0.284,667.568105870609
0.285,667.810091391907
0.286,668.052073842102
0.287,668.29405322322
0.288,668.536029537287
0.289,668.778002786329
0.29,669.019972972372
0.291,669.261940097443
0.292,669.503904163567
0.293,669.74586517277
0.294,669.987823127079
0.295,670.22977802852
0.296,670.471729879119
0.297,670.713678680902
0.298,670.955624435895
0.299,671.197567146124
0.3,671.439506813615
0.301,671.681443440394
0.302,671.923377028488
0.303,672.165307579922
0.304,672.407235096724
0.305,672.649159580917
0.306,672.89108103453
0.307,673.132999459588
0.308,673.374914858116
0.309,673.616827232142
0.31,673.858736583691
0.311,674.10064291479
0.312,674.342546227463
0.313,674.584446523739
0.314,674.826343805642
0.315,675.068238075199
0.316,675.310129334435
0.317,675.552017585378
0.318,675.793902830052
0.319,676.035785070485
0.32,676.277664308702
0.321,676.519540546729
0.322,676.761413786593
0.323,677.003284030319
0.324,677.245151279934
0.325,677.487015537464
0.326,677.728876804934
0.327,677.970735084372
0.328,678.212590377802
